Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Katalogizované;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stav Diela;Stav záznamu;Stupeň pôvodnosti;Stupeň pôvodnosti (ident. stavu);Stupeň pôvodnosti (počet stavov);Stupeň spracovania;Technika;Typ zbierky;Vlastník;Výtvarný druh;Zapisané do evidencie;Značenie;Žáner
"Bohúň, Peter Michal";"1850 - 1870";"19. storočie, 2. polovica, 1850-1870";"1.1.1957";;;;"O 1174";"1.1.1982";"26. NK";"Beňová, Katarína";"plátno";"výška 110.5 cm; šírka 77.0 cm";"1.1.1957";"Podobizeň pani Hammerschmiedovej";"Podobizeň pani Hammerschmiedovej | Portrait of Mrs. Hammerschmiedová (Preklad názvu)";"SNG";"SVK:SNG.O_1174";"POZN: ";"1029";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo na ráme stola: P B";"portrét"
"Canon, Hans";"1850 - 1875";"19. storočie, 2. polovica, 1850-1875";"13.2.1957";;;;"O 1176";"1.1.1982";"26. NK";"Beňová, Katarína";"lepenka; plátno";"výška 26.8 cm; šírka 21.8 cm";"13.2.1957";"Podobizeň vojenského hodnostára";"Podobizeň vojenského hodnostára | Portrait of a Military Officer (Preklad názvu)";"SNG";"SVK:SNG.O_1176";"POZN: pozri kartu O 1176 Johann V.Strašiřipka";"1033";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Reiter, Johann Baptista";"1851";"19. storočie, polovica, 1851";;;;;"O 1181";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 48.3 cm; šírka 38.7 cm";"25.3.1957";"Hrajúce sa dievčatko";"Hrajúce sa dievčatko | Little Girl Playing (Preklad názvu)";"SNG";"SVK:SNG.O_1181";"POZN: ";"1016";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"(švabachom) J.B.Reiter 851";"portrét"
"Bohúň, Peter Michal";"1850 - 1870";"19. storočie, 2. polovica, 1860 okolo";"13.2.1957";;;;"O 1182";"1.1.1982";"26. NK";"Beňová, Katarína";"plátno";"výška 28.2 cm; šírka 21.3 cm";"13.2.1957";"Podobizeň sediacej mladej ženy v modrom živôtiku";"Podobizeň sediacej mladej ženy v modrom živôtiku | Anna Philadelphi rod.Šípková; Portrait of a Seated Young Woman in a Blue Camisole (Preklad názvu)";"SNG";"SVK:SNG.O_1182";"POZN:";"1018";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"portrét"
"Mednyánszky, Ladislav";"1890 - 1900";"19. storočie, koniec, 1890-1900";"13.2.1957";;;;"O 1183";"1.1.1982";"26. NK";"Beňová, Katarína";"lepenka; plátno";"výška 50.6 cm; šírka 37.3 cm";"13.2.1957";"Lesný duch";"Lesný duch | Forest Ghost (Preklad názvu)";"SNG";"SVK:SNG.O_1183";"POZN: 

LIT:
Ladislav Mednyánszky : Kaštieľ Strážky : katalóg stálej expozície. 1. vyd. Bratislava : Slovenská národná galéria, 2009, 51.";"1020";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Mednyánszky";"imaginatívna kompozícia"
"Zemplényi, Teodor";"1880 - 1890";"19. storočie, 2. polovica, 1880-1890";"13.2.1957";;;;"O 1184";;"26. NK";"Beňová, Katarína";"plátno";"výška 15.3 cm; šírka 13.5 cm";"13.2.1957";"Štúdia hlavy sedliackeho chlapčeka";"Štúdia hlavy sedliackeho chlapčeka | Head Study of a Seated Boy (Preklad názvu)";"SNG";"SVK:SNG.O_1184";"POZN: ";"1021";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"portrét"
"Mednyánszky, Ladislav";"1895";"19. storočie, koniec, 1895";"13.2.1957";;;;"O 1185";"1.1.1982";"26. NK";"Beňová, Katarína";"lepenka; plátno";"výška 48.6 cm; šírka 37.8 cm";"13.2.1957";"Memento. Scéna hrôzy. ";"Memento. Scéna hrôzy.  | Scéna hrôzy (Predchádzajúci názov); Memento. Terror Scene (Preklad názvu)";"SNG";"SVK:SNG.O_1185";"POZN:

LIT:
Ladislav Mednyánszky : Kaštieľ Strážky : katalóg stálej expozície. 1. vyd. Bratislava : Slovenská národná galéria, 2009, 50.";"1022";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: Mednyánszky";"figurálna kompozícia"
"Rottmayr, Johann Michael - pravdepodobne";"1720";"18. storočie, 1. polovica, pred 1720";;;;;"O 1236";"1.1.1982";;"Chmelinová, Katarína";"plátno";"výška 94.0 cm; šírka 86.0 cm";"1.1.1957";"Triumf lásky";"Triumf lásky | Cesta proroka Eliáša; Mytologický výjav (Predchádzajúci názov); The Triumph of Love  (Preklad názvu)";"SNG";"SVK:SNG.O_1236";"POZN:
Skica k nástropnej maľbe
Proveniencia: Jasov, premonštrátsky kláštor, návrh na nástropnú maľbu nad schodiskom kláštora. Maľba nebola realizovaná.
Alegória kráľovnej Alžbety Kristíny ako Bellony. Výzdoba leopoldovského traktu v Hofburgu. 

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 112-113.


pôvodne datované po r. 1762";"1109";"prevod";"";"Dielo katalogizované";"originál";;;"skica";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"figurálna kompozícia"
"Neznámy maliar";"1770 - 1800";"18. storočie, 2. polovica, 1770-1800";;;;;"O 1237";"1.1.1982";;"Chmelinová, Katarína";"plátno";"výška 63.5 cm; šírka 44.0 cm";"21.9.1957";"Svätá rodina";"Svätá rodina | The Holy Family (Preklad názvu)";"SNG";"SVK:SNG.O_1237";"POZN: ";"1109";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Stredoeurópsky maliar z 2. polovice 18. storočia";"1760 - 1780";"18. storočie, 2. polovica, 1760-1780";;;;;"O 1239";"1.1.1983";;"Chmelinová, Katarína";"tabuľa, drevená";"výška 19.5 cm; šírka 29.2 cm";"1.1.1957";"Krajina s figurálnou štafážou";"Krajina s figurálnou štafážou | Landscape with a Figural Staffage (Preklad názvu)";"SNG";"SVK:SNG.O_1239";"POZN: ";"1169";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnou štafážou"
"Stunder, Ján Jakub";"1810";"19. storočie, začiatok, 1810";"17.7.1957";;;;"O 1243";"1.1.1982";"27. NK";"Beňová, Katarína";"plátno";"výška 56.0 cm; šírka 42.2 cm";"17.7.1957";"Podobizeň zemana";"Podobizeň zemana | Portrait of a Zeman (Preklad názvu)";"SNG";"SVK:SNG.O_1243";"POZN:";"1087";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: J.Stunder 1810";"portrét"
"Čordák, Ľudovít";"1900 - 1920";"20. storočie, 1. polovica, 1910 okolo";"17.7.1957";;;;"O 1244";;"27. NK";"Beňová, Katarína";"lepenka";"výška 33.0 cm; šírka 37.5 cm";"17.7.1957";"Žatva";"Žatva | Harvest (Preklad názvu)";"SNG";"SVK:SNG.O_1244";"POZN: 1/Csordák Lajos/";"1088";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Čordák";"krajina"
"Szále, Štefan";"1861";"19. storočie, 2. polovica, 1861";"17.7.1957";;;;"O 1245";"1.1.1982";"27. NK";"Beňová, Katarína";"plátno";"výška 65.9 cm; šírka 53.0 cm";"17.7.1957";"Podobizeň muža";"Podobizeň muža | Portrait of a Man (Preklad názvu)";"SNG";"SVK:SNG.O_1245";"POZN: ";"1089";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo hore: Szále Istv.fest.861";"portrét"
"Hamilton, Johann Georg de";"1720 - 1730";"18. storočie, 1. polovica, 1720-1730";"17.7.1957";"pendant O 1251";;;"O 1246";"1.1.1983";"27. NK";"Ludiková, Zuzana";"plátno";"výška 92.0 cm; šírka 78.3 cm";"17.7.1957";"Zátišie s tetrovom";"Zátišie s tetrovom | Still Life with a Grouse (Preklad názvu)";"SNG";"SVK:SNG.O_1246";"POZN: rešt. Eva Ricottiová, 1961 (RP 29)";"1095";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"poľovnícky motív"
"Mednyánszky, Ladislav";"1877 - 1880";"19. storočie, 2. polovica, 1877-1880";"1.1.1957";;;;"O 1247";"1.1.1983";"27. NK";"Beňová, Katarína";"plátno";"výška 28.1 cm; šírka 22.9 cm";"1.1.1957";"Štúdia hlavy paholka s fajkou";"Štúdia hlavy paholka s fajkou | Head Study of a Groom with a Pipe (Preklad názvu)";"SNG";"SVK:SNG.O_1247";"POZN:";"1096";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Marko ml., Karol";"1866";"19. storočie, 2. polovica, 1866";"17.7.1957";;;;"O 1249";"1.1.1982";"27. NK";"Beňová, Katarína";"plátno";"výška 23.4 cm; šírka 28.7 cm";"17.7.1957";"Krajina s riekou a lodičkou v popredí";"Krajina s riekou a lodičkou v popredí | Landscape with a River and a Boat in the Foreground (Preklad názvu)";"SNG";"SVK:SNG.O_1249";"POZN: ";"1099";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Marko 1866";"krajina s figurálnou štafážou"
"Mednyánszky, Ladislav";"1880 - 1900";"19. storočie, 1880-1900";"17.7.1957";;;;"O 1250";"1.1.1982";"27. NK";"Beňová, Katarína";"plátno";"výška 30.1 cm; šírka 43.2 cm";"17.7.1957";"Nákladná loď na brehu Dunaja";"Nákladná loď na brehu Dunaja | Cargo Ship on the Danube Riverbank (Preklad názvu)";"SNG";"SVK:SNG.O_1250";"POZN: ";"1103";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina"
"Hamilton, Johann Georg de";"1720 - 1730";"18. storočie, 1. polovica, 1720-1730";"1.1.1957";"pendant O 1246";;;"O 1251";"1.1.1983";"27. NK";"Ludiková, Zuzana";"plátno";"výška 92.0 cm; šírka 78.3 cm";"1.1.1957";"Zátišie s hlucháňom";"Zátišie s hlucháňom";"SNG";"SVK:SNG.O_1251";"POZN: rešt. Eva Ricottiová, 1961 (RP 29)";"1104";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"poľovnícky motív"
"Katona, Ferdinand";"1900 - 1910";"20. storočie, začiatok, 1900-1910";"17.7.1957";;;;"O 1254";"1.1.1982";"27. NK";"Beňová, Katarína";"lepenka, viedenská";"výška 30.6 cm; šírka 47.3 cm";"17.7.1957";"Súmrak";"Súmrak | Dusk (Preklad názvu)";"SNG";"SVK:SNG.O_1254";"POZN: ";"1113";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Katona Nándor";"krajina"
"Katona, Ferdinand";"1900 - 1910";"20. storočie, začiatok, 1900-1910";"17.7.1957";;;;"O 1255";"1.1.1982";"27. NK";"Beňová, Katarína";"plátno; lepenka";"výška 27.3 cm; šírka 18.8 cm";"17.7.1957";"Z cintorína";"Z cintorína | From the Cementary (Preklad názvu)";"SNG";"SVK:SNG.O_1255";"POZN: ";"1113";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Katona Nándor";"figurálna kompozícia"
"Katona, Ferdinand";"1890 - 1900";"19. storočie, koniec, 1890-1900";"17.7.1957";;;;"O 1256";"1.1.1982";"27. NK";"Beňová, Katarína";"drevo";"výška 27.5 cm; šírka 38.7 cm";"17.7.1957";"Na lúke";"Na lúke | In the Meadow (Preklad názvu)";"SNG";"SVK:SNG.O_1256";"POZN: ";"1114";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Katona Nándor";"krajina"
"Katona, Ferdinand";"1902";"20. storočie, začiatok, 1902";"17.7.1957";;;;"O 1257";"1.1.1982";"27. NK";"Beňová, Katarína";"drevo";"výška 17.3 cm; šírka 26.3 cm";"17.7.1957";"Jarná krajina so stromami";"Jarná krajina so stromami | Autumn Landscape with Trees (Preklad názvu)";"SNG";"SVK:SNG.O_1257";"POZN: ";"1115";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina"
"Mednyánszky, Ladislav";"1914 - 1924";"20. storočie, 1. polovica, 1914 po";"17.7.1957";;;;"O 1310";"1.1.1982";"27. NK";"Beňová, Katarína";"drevo";"výška 23.6 cm; šírka 32.4 cm";"17.7.1957";"Zákopy v zime";"Zákopy v zime | V zákopoch; Trenches in Winter (Preklad názvu)";"SNG";"SVK:SNG.O_1310";"POZN: ";"1200/a";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Mednyánszky";"krajina s figurálnou štafážou"
"Swoboda, Rudolf";"1801 - 1850";"19. storočie, 1. polovica";"22.11.1957";;;;"O 1340";"1.1.1989";"29. NK";"Beňová, Katarína";"plátno";"výška 44.7 cm; šírka 65.6 cm";"22.11.1957";"Pohľad na Bratislavu";"Pohľad na Bratislavu | The View of Bratislava (Preklad názvu)";"SNG";"SVK:SNG.O_1340";"POZN: ";"1233";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo dole: Rud. Swoboda";""
"Roos, Johann Heinrich";"1678";"17. storočie, 2. polovica, 1678";"17.7.1957";;;;"O 1341";"1.1.1983";"27. NK";"Ludiková, Zuzana";"plátno";"výška 89.1 cm; šírka 110.4 cm";"17.7.1957";"Krajina s lovcami";"Krajina s lovcami | Landscape with Hunters (Preklad názvu)";"SNG";"SVK:SNG.O_1341";"POZN: ";"1237";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: J.Roos.fecit 1678";"lovecký motív"
"Aachen, Johann von";"1587";"16. storočie, 2. polovica, 1587";"1.1.1957";;;;"O 1342";"1.1.1983";"NK";"Ludiková, Zuzana";"tabuľa, drevená";"výška 42.0 cm; šírka 59.6 cm";"1.1.1957";"Cesta na Golgotu";"Cesta na Golgotu | Cesta na Golgotu (Názov určený majiteľom); Kristus nesúci svoj Kríž (Názov určený tvorcom); Le Christ poutrant sa Croix (Názov určený tvorcom); Nesenie kríža (Názov uvádzaný v literatúre); Christ carrying the Cross (Preklad názvu)";"SNG";"SVK:SNG.O_1342";"LIT :
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 70-71.";"1238";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: HvA 1578; zadná strana: zberateľská značka a štítok";"náboženský motív"
"Rosa, Francesco de - autor predlohy";"1635 - 1640";"";"22.11.1957";;;;"O 1366";"1.1.1982";"29. NK";"Ludiková, Zuzana";"plátno";"obraz: priemer 67.5 cm; rám: priemer 90.0 cm";"22.11.1957";"Svätá Katarína";"Svätá Katarína | Sv. Katarína Alexandrijská; Saint Catherine of Alexandria (Preklad názvu)";"SNG";"SVK:SNG.O_1366";"POZN: rešt. Eva Ricottiová, 1960 – 1962; Jozef Beňušík, 1976 – 1977, ošetrila Alena Kubová, 1994

LIT:
Buran, Dušan. Talianska maľba = Italian Painting. Bratislava : Slovenská národná galéria, 2013, 186-187.";"1284";"kúpa";"";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"na druhej strane obrazu: Massimo S./Stanzione/";"náboženský motív"
"Denner, Balthasar";"1720 - 1730";"18. storočie, 1. polovica, 1720-1730";"1.1.1957";;;;"O 1369";"1.1.1983";"29. NK";"Ludiková, Zuzana";"tabuľa, drevená";"výška 41.9 cm; šírka 33.3 cm";"22.11.1957";"Hlava stareny";"Hlava stareny | Old Woman's Head (Preklad názvu)";"SNG";"SVK:SNG.O_1369";"POZN: ";"1288";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Hamilton, Philip Ferdinand";"1720 - 1730";"18. storočie, 1. polovica, 1720-1730";"22.11.1957";;;;"O 1370";"1.1.1983";"29. NK";"Ludiková, Zuzana";"plátno";"výška 43.0 cm; šírka 55.5 cm";"1.1.1957";"Zátišie s ulovenými vtákmi";"Zátišie s ulovenými vtákmi | Still Life with Dead Birds (Preklad názvu)";"SNG";"SVK:SNG.O_1370";"POZN: ";"1288";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"poľovnícky motív"
"Mednyánszky, Ladislav";"1870 - 1900";"19. storočie, 2. polovica, 1870-1900";"22.11.1957";;;;"O 1371";"1.1.1982";"29. NK";"Beňová, Katarína";"plátno";"výška 36.0 cm; šírka 54.0 cm";"22.11.1957";"Mesačná noc";"Mesačná noc | Samota v lese; Solitude in the Woods. Moon Night (Preklad názvu)";"SNG";"SVK:SNG.O_1371";"POZN: 

LIT:
Ladislav Mednyánszky. 1852-1919. Bratislava : Slovak National Gallery and Slovart, 2004, 482.";"1289";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina"
"Brodszky, Alexander";"1850 - 1900";"19. storočie, 2. polovica, 1850-1900";"22.11.1957";;;;"O 1377";"1.1.1982";"29. NK";"Beňová, Katarína";"plátno";"výška 23.0 cm; šírka 33.3 cm";"22.11.1957";"Podvečerná krajina";"Podvečerná krajina | Early Evening Landscape  (Preklad názvu)";"SNG";"SVK:SNG.O_1377";"POZN:

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 134.";"1304";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Brodský S.";"krajina"
"Mednyánszky, Ladislav";"1877 - 1880";"19. storočie, 2. polovica, 1877-1880";"1.1.1957";;;;"O 1378";"1.1.1982";"29. NK";"Beňová, Katarína";"plátno";"výška 44.8 cm; šírka 35.0 cm";"1.1.1957";"Muž v kožušteku. ";"Muž v kožušteku.  | Hlava muža (Predchádzajúci názov); Man in a Fur (Preklad názvu)";"SNG";"SVK:SNG.O_1378";"POZN: ";"1306";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Csillagi, Ľudovít";"1855";"19. storočie, polovica, 1855";"22.5.1958";;;;"O 1397";"1.1.1982";"31. NK";"Beňová, Katarína";"plátno";"výška 98.2 cm; šírka 78.5 cm";"22.5.1958";"Podobizeň Pavla Jastrabského";"Podobizeň Pavla Jastrabského | Portrait of Pavol Jastrabský (Preklad názvu)";"SNG";"SVK:SNG.O_1397";"POZN: ";"1320";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: Csillagi S.855";"portrét"
"Věšín, Jaroslav";"1986";"20. storočie, 2. polovica, 1986";"24.5.1958";;;;"O 1398";"1.1.1982";"29. NK";"Beňová, Katarína";"plátno";"výška 56.0 cm; šírka 29.0 cm";"24.5.1958";"Čáp letí";"Čáp letí | Flying Stork (Preklad názvu)";"SNG";"SVK:SNG.O_1398";"POZN: ";"1321";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo dole: Jaroslav Věšín M.86";"krajina s figurálno-animálnou kompozíciou"
"Skutecký, Dominik";"1913";"20. storočie, 1. polovica, 1913";"21.4.1958";;;;"O 1420";"1.1.1982";"31. NK";"Beňová, Katarína";"plátno";"výška 95.5 cm; šírka 133.0 cm";"21.4.1958";"Pred skončením práce";"Pred skončením práce | Before the End of Work (Preklad názvu)";"SNG";"SVK:SNG.O_1420";"POZN: 
Literatúra: 
Tilkovský 1954, s. 125, 127 (repr.), 188, kat. č. 266
Výstavy:
Ars et Amor, Labor et Gloria, SSG BB 2014";"1343";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: Skutezky D.913";""
"Barabás, Miklós";"1869";"19. storočie, 2. polovica, 1869";"21.4.1958";;;;"O 1421";"1.1.1982";"31. NK";"Beňová, Katarína";"plátno";"výška 118.0 cm; šírka 92.2 cm";"21.4.1958";"Podobizeň Sidónie Príhradnej";"Podobizeň Sidónie Príhradnej | Portrait of Sidónia Príhradná (Preklad názvu)";"SNG";"SVK:SNG.O_1421";"POZN: ";"1348/a";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo: Barabás 869";"portrét"
"Barabás, Miklós";"1869";"19. storočie, 2. polovica, 1869";"21.4.1958";;;;"O 1422";"1.1.1982";"31. NK";"Beňová, Katarína";"plátno";"výška 118.0 cm; šírka 92.2 cm";"21.4.1958";"Podobizeň A.Príhradného";"Podobizeň A.Príhradného | Portrait of A. Príhradný (Preklad názvu)";"SNG";"SVK:SNG.O_1422";"POZN: ";"1348/B";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Czauczik, Jozef";"1832 - 1852";"19. storočie, 1. polovica, 1842 okolo";"21.4.1958";;;;"O 1426";"1.1.1982";"31. NK";"Beňová, Katarína";"plátno";"výška 77.0 cm; šírka 60.5 cm";"21.4.1958";"Podobizeň Dávida Thiuschmidta (Pfannschmidta)";"Podobizeň Dávida Thiuschmidta (Pfannschmidta) | Portrait of Dávid Thiuschmidt (Pfannschmidt) (Preklad názvu)";"SNG";"SVK:SNG.O_1426";"POZN: Czauczig Joseph";"1353";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"portrét"
"Moczik, Felicián";"1890 - 1900";"19. storočie, koniec, 1890-1900";"21.4.1958";;;;"O 1427";"1.1.1982";"31. NK";"Beňová, Katarína";"papier";"výška 21.0 cm; šírka 29.5 cm";"21.4.1958";"Krajina s rybníkom";"Krajina s rybníkom | Landscape with Pond (Preklad názvu)";"SNG";"SVK:SNG.O_1427";"POZN: ";"1355";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Mocik felicián";"krajina s figurálnou štafážou"
"Horovitz, Leopold";"1870";"";"21.4.1958";;;;"O 1430";"1.1.1982";"31. NK";"Beňová, Katarína";"plátno";"výška 52.5 cm; šírka 40.5 cm";"21.4.1958";"Maliar pri práci";"Maliar pri práci | Painter at Work (Preklad názvu)";"SNG";"SVK:SNG.O_1430";"POZN: Jana Švantnerová: Leopold Horovitz, Diplomová práca FiF UK Bratislava, s. 50 obrazovej prílohy";"1359";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Skutecký, Dominik";"1875";"19. storočie, 2. polovica, 1875";"21.4.1958";;;;"O 1440";"1.1.1982";"31. NK";"Beňová, Katarína";"plátno";"výška 43.0 cm; šírka 34.0 cm";"21.4.1958";"Podobizeň Cecílie Löwy";"Podobizeň Cecílie Löwy | Portrait of Cecília Löwy (Preklad názvu)";"SNG";"SVK:SNG.O_1440";"POZN: 
Tilkovský 1954, s. 22, kat. č. 12 (datované do roku 1874)

Výstava:
Ars et Amor, Labot et Gloria, SSG BB, 2014";"1373";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo hore: D.Skutezky 875 Wien";"portrét"
"Skutecký, Dominik";"1908";"20. storočie, 1. polovica, 1908";"21.4.1958";;;;"O 1441";"1.1.1989";"31. NK";"Beňová, Katarína";"plátno";"výška 65.4 cm; šírka 51.9 cm";"21.4.1958";"Podobizeň ženy";"Podobizeň ženy | Mamin portrét; Portrait of a Woman (Preklad názvu)";"SNG";"SVK:SNG.O_1441";"POZN: 
Tilkovský, s. 184, kat. č. 230 ako Mamin portrét

Výstavy: 
Ars et Amor, Labor et Gloria, SSG BB 2014";"1373";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo dole: D.Skutezky 1908";""
